Source file: STIRRER  LEFT.dnl
Date: 01.03.2020
Time: 15:13
User name: MASTERDRIVES VC(CUVC)
Device type: MASTERDRIVES VC(CUVC)
SW version: 03.4
Bus address: 0
;;;;
MFLB: 6SE70 .. [18] 21-3E.6.                        
Converter supply voltage: 415 V
Converter current(n): 13.2 A
Converter power(n): 5.5 kW
Date of generation: 20.1.2005
Operating hours: 540.3.3052

;Basic board;Slot A;Slot C;Slot D;Slot E;Slot F;Slot G
Software version;3.4;0.0;0.0;0.0;0.0;0.0;0.0
Software ID;0.1;0.0;0.0;0.0;0.0;0.0;0.0
Board code;92;151;0;0;0;0;0
Board ID;255;255;0;0;0;0;0

Faults;actual;last;before-last
Fault memory;0;8;8
Fault value;0;1;1

P No.;Par.- text;Ind.;Index text;Par. value
;;;;
r001;Drive Status;000;;[14] Operation 
r002;Rot Freq;000;;45.748 Hz
r003;Output Volts;000;;354.3 V
r004;Output Amps;000;;5.5 A
r005;Output Power;000;;6.9 %
r006;DC Bus Volts;000;;560 V
r007;Motor Torque;000;;7.4 %
r008;Motor Utilizat.;000;;0 %
r009;Motor Temperat.;000;;200 °C
r010;Drive Utilizat.;000;;17 %
r011;act. MotDataSet;000;;[1] Mot-DS 1 
r012;Active BICO DSet;000;;[1] BiCo-DS 1 
r013;Active FuncDSet;000;;[1] FuncDSet 1 
r014;Setp Speed;000;;1374.5 min¯¹
r015;n(act);000;;1372.7 min¯¹
P028;S.DispPowerConn;001;;K0  FixConn 0% 
P028;S.DispPowerConn;002;;K0  FixConn 0% 
P028;S.DispPowerConn;003;;K0  FixConn 0% 
P028;S.DispPowerConn;004;;K0  FixConn 0% 
P028;S.DispPowerConn;005;;K0  FixConn 0% 
r029;DispPowerConn;001;;0.0 %
r029;DispPowerConn;002;;0.0 %
r029;DispPowerConn;003;;0.0 %
r029;DispPowerConn;004;;0.0 %
r029;DispPowerConn;005;;0.0 %
P030;S.Disp Binec;001;;B5113  1stEB1 DI5 
P030;S.Disp Binec;002;;B0  FixBinector 0 
P030;S.Disp Binec;003;;B0  FixBinector 0 
P030;S.Disp Binec;004;;B0  FixBinector 0 
P030;S.Disp Binec;005;;B0  FixBinector 0 
r031;Display Binector;001;;1 
r031;Display Binector;002;;0 
r031;Display Binector;003;;0 
r031;Display Binector;004;;0 
r031;Display Binector;005;;0 
P032;S.Disp Conn;001;;KK604  I32 KK 1.85 
P032;S.Disp Conn;002;;K0  FixConn 0% 
P032;S.Disp Conn;003;;K0  FixConn 0% 
P032;S.Disp Conn;004;;K0  FixConn 0% 
P032;S.Disp Conn;005;;K0  FixConn 0% 
r033;Display Conn;001;;0.000 %
r033;Display Conn;002;;0.000 %
r033;Display Conn;003;;0.000 %
r033;Display Conn;004;;0.000 %
r033;Display Conn;005;;0.000 %
P034;S.DispVoltsConn;001;;K0  FixConn 0% 
P034;S.DispVoltsConn;002;;K0  FixConn 0% 
P034;S.DispVoltsConn;003;;K0  FixConn 0% 
P034;S.DispVoltsConn;004;;K0  FixConn 0% 
P034;S.DispVoltsConn;005;;K0  FixConn 0% 
r035;Disp Volts Conn;001;;0.0 V
r035;Disp Volts Conn;002;;0.0 V
r035;Disp Volts Conn;003;;0.0 V
r035;Disp Volts Conn;004;;0.0 V
r035;Disp Volts Conn;005;;0.0 V
P036;S.DispAmpsConn;001;;K0  FixConn 0% 
P036;S.DispAmpsConn;002;;K0  FixConn 0% 
P036;S.DispAmpsConn;003;;K0  FixConn 0% 
P036;S.DispAmpsConn;004;;K0  FixConn 0% 
P036;S.DispAmpsConn;005;;K0  FixConn 0% 
r037;Disp Amps Conn;001;;0.00 A
r037;Disp Amps Conn;002;;0.00 A
r037;Disp Amps Conn;003;;0.00 A
r037;Disp Amps Conn;004;;0.00 A
r037;Disp Amps Conn;005;;0.00 A
P038;S.DispTorqConn;001;;K0  FixConn 0% 
P038;S.DispTorqConn;002;;K0  FixConn 0% 
P038;S.DispTorqConn;003;;K0  FixConn 0% 
P038;S.DispTorqConn;004;;K0  FixConn 0% 
P038;S.DispTorqConn;005;;K0  FixConn 0% 
r039;Disp Torq Conn;001;;0.0 %
r039;Disp Torq Conn;002;;0.0 %
r039;Disp Torq Conn;003;;0.0 %
r039;Disp Torq Conn;004;;0.0 %
r039;Disp Torq Conn;005;;0.0 %
P040;S.Disp SpdConn;001;;K0  FixConn 0% 
P040;S.Disp SpdConn;002;;K0  FixConn 0% 
P040;S.Disp SpdConn;003;;K0  FixConn 0% 
P040;S.Disp SpdConn;004;;K0  FixConn 0% 
P040;S.Disp SpdConn;005;;KK91  Meas´dRot.Speed 
