DATE,TIME,Imp_rpm_set,Imp_rpm_obs,Chop_rpm_set,Chop_rpm_obs,Imp_torq_obs,Chop_torq_obs,Imp_amp_obs,Chop_amp_obs,Set_time_min,Set_time_sec,Start_time,Stop_time,Null_time,Process_status,Prod_name,Batch_no,Batch_size,Mfg_date,Exp_date,Op_name,Lot_no,Lot_size,Purge_state,Recipe_name,aa,ab,ac,ad,ae
23.07.2018,12:30:34,30,30,700,500,280,5,50,12,10,1,70,29,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:31:34,30,30,700,500,280,5,50,12,11,1,70,29,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:32:34,30,30,700,500,280,5,50,12,12,1,70,29,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:33:34,30,30,700,500,280,5,50,12,13,1,70,29,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:34:34,30,30,700,500,280,5,50,12,14,1,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:35:34,30,30,700,500,280,5,50,12,15,1,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:36:34,30,30,700,500,279,5,50,12,16,1,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:37:34,30,30,700,500,280,5,50,12,17,1,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:38:34,30,30,700,500,280,5,50,12,18,1,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:39:34,30,30,700,500,280,5,50,12,19,1,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:42:22,30,4,700,500,62,7,50,12,21,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:43:22,30,30,700,500,280,5,50,12,22,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:44:22,30,30,700,500,280,5,50,12,23,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:45:22,30,30,700,500,280,5,50,12,24,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:46:22,30,30,700,500,280,5,50,12,25,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:47:22,30,30,700,500,280,5,50,12,26,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:48:22,30,30,700,500,280,5,50,12,27,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:49:22,30,30,700,500,280,5,50,12,28,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:50:22,30,30,700,500,280,5,50,12,29,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:51:22,30,30,700,500,280,5,50,12,30,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:52:22,30,30,700,500,280,5,50,12,31,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:53:22,30,30,700,500,280,5,50,12,32,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:54:22,30,30,700,500,280,5,50,12,33,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:55:22,30,30,700,500,280,5,50,12,34,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:56:22,30,30,700,500,280,5,50,12,35,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:57:22,30,30,700,500,280,5,50,12,36,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
23.07.2018,12:58:22,30,30,700,500,280,5,50,12,37,44,70,30,0,0,PRODUCT NAME,BATCH NO,batch size,MANUFACTUR,EXP DATE,akums,LOT NO,LOT SIZE,0,500,,,,,
