S.No,Customer ,PO.No,PO.Date,Material Descriptions,TYPE No.,Qty,Make,Remarks,,
11,Hero MotoCorp Ltd.,7100024404,3/6/2021,LT Module ,6SL3120-2TE21-8AC0 ,1,Siemens,billed,,
,Hero MotoCorp Ltd.,7100024404,3/6/2021,Control supply module,6SL3100-1DE22-0AA1 ,1,Siemens,3007256238 EDA 28.05.21,,
13,Hero MotoCorp Ltd.,7100024404,3/6/2021,Control supply module,6SL31622MA000AC0,2,Siemens,billed,,
,HEEP,S0Y1308,"Saturday, March 20, 2021",Siemens Items,,,,,,
,,,,HMI,6AV2124-1GC01- 0AX0,1,Siemens,billed,,
,,,,,6AV21240MC010AX0,1,Siemens,billed,,
,,,,,6ES7131-4BB01- 0AA0,1,Siemens,Aug 3rd/4th week,,
,,,,,6ES7138-4FB04-0AB0,1,Siemens,billed,,
,,,,,6ES7322-1HF01-0AA0,1,Siemens,billed,,
,,,,,6ES7400-1JA01-0AA0,1,Siemens,billed,,
,,,,,6ES7400-1TA01-0AA0,1,Siemens,billed,,
,,,,,6FC5303-0AA01-1AA0,1,Siemens,billed,,
,,,,,6FC5348-0AA08-3AA0,1,Siemens,Aug 3rd/4th week,,
,,,,,6FC5357-0BB34- 0AA0,1,Siemens,Aug 3rd/4th week,,
,,,,,6FC5370-0AA00-3AA1,1,Siemens,Aug 3rd/4th week,,
,,,,,6FX2007-1AC04,1,Siemens,Aug 3rd/4th week,,
,,,,,6FX2007-1AE04,1,Siemens,Aug 3rd/4th week,,
,,,,,6SL3040- 1LA00-0AA0,1,Siemens,Aug 3rd/4th week,,
,,,,,6SL3100-0BE23-6AB0,1,Siemens,Aug 3rd/4th week,,
,,,,,6SL3120-1TE21- 8AD0,1,Siemens,Aug 3rd/4th week,,
,,,,,6SL3162-2ME01-0AC0,1,Siemens,in stock,,
,,,,,6SN1145-1BB00-0FA1,1,Siemens,July 3rd/4 th week,,
,,,,,1FK7044-7AF71-1EH0,1,Siemens,Sep 2nd/3rd week,,
,,,,,1FT6064-1AF71-4AG1,1,Siemens,Sep 2nd/3rd week,,
,,,,,6FC5111-0CA05 -0AA0,1,Siemens,billed,,
,,,,,6SN1118-0DH23-0AA1,1,Siemens,Sep 2nd/3rd week,,
,SKF INDIA LIMITED,EP541743,"Thursday, April 1, 2021",v2 panel,,2,Siemens,1  to be booked,,
