Material,Material Description,Plnt,SLoc,S,Unrestr.,Total Value,Special stock number
1690,VTUS-20-SC1F7-1D-Q10-GCU3-Q6T-4A-HC3MANI,HRWB,AUT,,4,"14,260.35",
1691,"RLY BOARD-8CH,1CH,24VDC,OB-TRINITY",HRWB,AUT,,11,"1,172.04",
10211,SSM- 1FK2 HD SERVO MOTOR 1.45KW -SIEMENS,HRWB,AUT,,6,"39,321.90",
18789,MOTOR-2.39NM WITHOUT BRK-SIEMENS,HRWB,AUT,,1,"13,160.00",
19064,"SIMATIC S7-1200, CM1243-2 COMMUNICATION",HRWB,AUT,Q,1,"33,190.50",C/4167/12
19072,CABLE-1X1 SQMM DARK BLUE-LAPP,HRWB,AUT,,1,"2,006.00",
24426,"MCB-5SL,6A/1P,7.5kA-SIEMENS",HRWB,AUT,,1,"1,384.64",
24449,SOFTWARE OSD-WINCC COMFRT V15-SIEMENS,HRWB,AUT,Q,4,"23,057.13",C/4167/11
26923,"SOFTWARE-OSD WINCC RT 512,V16-SIEMENS",HRWB,AUT,,4,"67,704.00",
26970,SOFTWARE OSD-ENERGY SUITE V15-SIEMENS,HRWB,AUT,Q,3,"15,022.35",C/4167/11
29450,"HMI-KTP400,BASIC TOUCH 4""-SIEMENS",HRWB,AUT,,7,"82,928.86",
29452,"SIMATIC HMI KTP700 BASIC 7""-SIEMENS",HRWB,AUT,,2,"1,31,641.51",
32492,"HMI-KTP700,COMFORT TOUCH 7""-SIEMENS",HRWB,AUT,,8,"1,25,988.06",
32493,"HMI-KTP700,COMFORT TOUCH 7""-SIEMENS",HRWB,AUT,Q,6,"19,421.54",C/4167/12
33170,"HMI-KTP1200 BASIC DP,TOUCH 12""-SIEMENS",HRWB,AUT,,8,"62,283.90",
33209,"HMI-KTP1200 BASIC KEY,TOUCH 12""-SIEMENS",HRWB,AUT,Q,1,"1,27,210.51",C/4167/11
33623,"SIMATIC HMI TP900 COMFORT 9""-SIEMENS",HRWB,AUT,,1,"75,583.68",
33628,SIMATIC HMI TP1200 COMFORT-SIEMENS,HRWB,AUT,,1,"1,17,538.40",
33646,SIMATIC HMI TP1200 COMFORT-SIEMENS,HRWB,AUT,Q,7,"1,17,538.40",C/4167/11
33662,SIMATIC HMI TP1500 COMFORT-SIEMENS,HRWB,AUT,,1,"4,05,408.00",
33671,SIMATIC HMI MEMORY CARD 2 GB,HRWB,AUT,,1,"2,961.91",
47849,SIMATIC HMI MEMORY CARD 2 GB,HRWB,AUT,Q,11,"3,010.43",C/4167/12
61946,SOFTWARE-OSD WINCC UPDATE LIC-SIEMENS,HRWB,AUT,Q,7,"17,559.15",C/4167/11
72009,SOFTWARE-OSD UPGRD V7.4 TO V7.5-SIEMENS,HRWB,AUT,Q,2,"19,632.90",C/4167/11
85297,"SIMATIC HMI KP300,3.6 MONO-SIEMENS",HRWB,AUT,,3,"9,929.99",
86478,"SIMATIC HMI KP300,3.6 MONO-SIEMENS",HRWB,AUT,Q,1,"9,929.99",C/4167/11
114017,LOGO-PC CABLE-SIEMENS,HRWB,AUT,,4,"3,198.05",
167611,LOGO-PC CABLE-SIEMENS,HRWB,AUT,Q,1,"3,198.05",C/4167/11
201139,"LOGO-USB PC CABLE,DRV ON CD INCL-SIEMENS",HRWB,AUT,,134,"3,170.65",
201142,"SITOP-IP/230VAC,1PH,OP/2A@24VDC-SIEMENS",HRWB,AUT,,285,"8,235.24",
202138,SITOP PSU100S 12V/14A-SIEMENS,HRWB,AUT,,1,"27,195.00",
203250,"SITOP PSU100L,24V/5A PS-SIEMENS",HRWB,AUT,,3,"3,878.92",
216388,"SITOP-IP/240VAC,PSU100D,24V/6.2A-SIEMENS",HRWB,AUT,,38,"6,395.26",
301547,"SITOP-IP/240VAC,PSU100D,24V/6.2A-SIEMENS",HRWB,AUT,Q,2,"2,131.76",C/4167/11
402174,"SITOP-IP/240VAC,PSU100D,24V/6.2A-SIEMENS",HRWB,AUT,Q,66,"6,395.26",C/4167/12
404017,"SITOP-IP/230VAC1PH,OP/5A@24VDC-SIEMENS",HRWB,AUT,,101,"6,597.23",
404428,"SITOP PSU100L,24V/10A PS-SIEMENS",HRWB,AUT,,400,"6,037.12",
404460,"SITOP PSU100L,24V/12.5A PS-SIEMENS",HRWB,AUT,,64,"13,886.48",
421016,"SITOP PSU100L,24V/12.5A PS-SIEMENS",HRWB,AUT,Q,11,"9,257.66",C/4167/11
421058,"SITOP PSU100L,24V/12.5A PS-SIEMENS",HRWB,AUT,Q,125,"9,257.65",C/4167/12
423014,"SITOP PSU200M, 24V/10A-SIEMENS",HRWB,AUT,,47,"52,736.00",
423027,"SITOP-IP/400-500V,1PH,OP/20A@24VDC,SIEME",HRWB,AUT,,52,"23,232.85",
423030,SITOP PSU8200 24V/40A-SIEMENS,HRWB,AUT,,72,"28,666.00",
424026,"ET200S-2DI,24VDC,HF(5UNITS)-SIEMENS",HRWB,AUT,,44,"54,400.68",
424039,"ET200S-2DI,24VDC,HF(5UNITS)-SIEMENS",HRWB,AUT,Q,46,"27,200.34",C/4167/11
441012,"ET200S-4DI,24VDC,STD-SIEMENS           ",HRWB,AUT,,44,"22,576.00",
441025,"ET200S-4DI,24VDC,HF(5UNITS)-SIEMENS",HRWB,AUT,,130,"98,750.86",
441041,"ET200S-8DI,24VDC,STD-SIEMENS",HRWB,AUT,Q,1,"1,595.57",C/4167/11
441119,"ET-200SP,BU15-P16+A0+2B-SIEMENS        ",HRWB,AUT,,118,"33,869.95",
441504,"ET200S-4DOX24VDC,0.5A,STD-SIEMENS",HRWB,AUT,,171,"2,17,393.74",
442011,"ET200S-4DOX24VDC,0.5A,STD-SIEMENS",HRWB,AUT,Q,8,"18,116.14",C/4167/11
443010,"ET200S-4DOX24VDC,2A-SIEMENS",HRWB,AUT,,20,"1,22,436.00",
443023,"ET200S-8DOX24VDC,0.5A-SIEMENS",HRWB,AUT,,82,"11,106.23",
443049,"ET200S-8DOX24VDC,0.5A-SIEMENS",HRWB,AUT,Q,1,"22,212.46",C/4167/11
443052,"ET200S-8DOX24VDC,0.5A-SIEMENS",HRWB,AUT,Q,31,"22,212.46",C/4167/12
443065,"ET200S-8DOX24VDC,0.5A-SIEMENS",HRWB,AUT,,38,"8,436.20",
543892,"ET-200SP,DQ4X24VDC/2A-SIEMENS",HRWB,AUT,,4,"3,963.07",
563940,"ET-200SP,BU15-P16+A0+2D-SIEMENS     ",HRWB,AUT,,8,"19,085.01",
673000,"ET200SP-DQ8X24VDC/0,5A-SIEMENS",HRWB,AUT,,2,"6,420.29",
673010,"ET200SP, DQ 16X24V SIMATIC ET200SP",HRWB,AUT,,1,"32,490.00",
673043,"ET200S-2AI,VOLTAGE,STANDARD-SIEMENS",HRWB,AUT,,2,"95,418.00",
673203,"ET200S-2AI,VOLTAGE,STANDARD-SIEMENS",HRWB,AUT,Q,1,"31,806.00",C/4167/11
673303,"ET200S-2AI,VOLTAGE,STANDARD-SIEMENS",HRWB,AUT,Q,17,"15,903.00",C/4167/12
674513,"ET200S-2AI,ELECTRONIC MODULE-SIEMENS",HRWB,AUT,,9,"81,883.74",
